fecha,Mod_comb,NDVI,sup_quemad,sup_arb,sup_pastiz,sup_matorr,w_arb,w_pastiz,w_matorr,rk_Cuenc_F,rk_hist_Cu,rk_hist_us,rk_orograf,rk_peligro,rk_pte,vuln_equip,vuln_forve,vuln_infra,vuln_max,vuln_pathi,LST,rk_combUSIF,rk_combCuencExtr,rk_combCuencSup,Velocidad_Viento,Dirección_Viento,Humedad_Relativa,Temperatura_Máxima,Temperatura_Media,ETo_acumulada,Precipitación_acumulada
15/08/2017,8,4258.93,93.1360016,86.3919983,0,6.744,0.92759,0,0.0724102,5,4,2,2,2,1,1,4,2,4,1,32.85,4,2,2,1.7,340.8,34.1,34.4,25.9,950.1,637.2
24/07/2017,5,4892.07,85.4020004,50.3730011,5.0780001,29.9510002,0.589834,0.05946,0.350706,5,4,2,2,2,1,2,4,2,4,1,37.51,4,3,2,1.5,330.1,34.7,36.4,26.5,957.5,637.2
24/06/2017,8,4806.22,8160.5,5501.629883,642.625,2016.25,0.674178,0.0787482,0.247074,5,4,2,2,1,1,1,4,2,4,1,30.5,4,4,3,0.9,4.5,32.6,40,29.8,735.18,652.6
08/07/2017,3,2988,24.2740002,3.9890001,8.1780005,12.1070004,0.164332,0.336904,0.498764,3,4,2,2,1,1,1,3,5,5,1,31.93,4,5,5,2,293.2,697.2,28.1,21.9,972.42,678.2
05/08/2018,7,4898.05,315.526001,292.3429871,7.0040002,16.1790009,0.926526,0.0221979,0.0512763,4,5,5,2,2,3,1,4,1,4,1,32.53,5,5,5,1.4,250.5,32.1,39.8,30.6,1150.95,808
02/08/2018,NA,4731.98,1628.410034,661.3220215,143.4649963,823.6190186,0.406115,0.0881013,0.505781,5,5,3,2,4,4,1,4,5,4,1,35.37,5,5,4,2.5,93.7,20.6,40.1,31.7,1126.11,808
02/08/2018,5,4396.07,84.538002,58.9760017,1.931,23.6310005,0.697627,0.0228418,0.279531,5,5,2,2,2,1,1,3,5,5,1,38.62,4,4,3,1.5,162,31,39.9,30.4,1068.43,559.4
25/07/2004,5,4832.84,402.423004,,,,,,,3,5,5,2,4,4,1,4,1,4,1,41.7,4,5,5,8,293,28,40,32,1033.03,725.4
15/08/2004,7,4503.08,128.621994,,,,,,,3,5,5,3,5,4,1,4,2,4,1,43.39,5,5,5,20,225,50,35,28,1284.66,811.44
11/07/2004,11,2228.28,184.755005,,,,,,,3,4,5,2,2,3,1,4,1,4,1,40.57,5,4,5,8,45,52,28,20,1122.46,659.6
28/08/2004,11,2438.82,2417.70996,,,,,,,3,5,5,2,3,2,1,3,2,3,1,39.918,5,5,5,20,0,30,38,30,1360.89,811.4
13/07/2002,1,2097.45,165.334,,,,,,,3,5,5,2,1,2,1,3,1,3,1,0,5,5,5,15,0,44,35,27,1107.34,789.2
15/07/2002,4,2534.55,361.362,,,,,,,2,5,5,2,4,2,1,3,2,3,1,39.09,5,4,4,6,68,41,36,28,1048.41,681.8
15/07/2000,1,3754.58,306.658997,,,,,,,4,5,5,2,2,3,1,4,2,4,1,42.65,4,5,5,35,270,,,,,
28/07/2000,7,4251.86,150.115997,,,,,,,2,5,5,2,4,4,1,3,2,3,1,43.51,5,5,5,17,225,43,37,29,890.14,305.8
27/07/2000,1,3323.26,154.828995,,,,,,,3,5,5,2,1,1,1,3,1,3,1,40.19,5,5,4,15,225,48,35,28,881.2,305.8
29/05/2001,10,3096.14,71.2798004,,,,,,,1,5,5,2,3,4,1,2,1,2,1,0,5,5,5,8,135,47,35,25,431.51,855.6
29/06/2001,3,1965.66,355.838013,,,,,,,3,5,5,2,2,2,1,3,2,3,1,0,5,5,5,7,180,38,33,25,806.43,646.4
04/08/2001,4,2704.87,314.639008,,,,,,,3,5,5,2,1,1,1,3,1,3,1,44.4433333,5,5,5,15,315,25,35,27,1109.87,646.4
05/08/2001,5,2375.15,74.2922974,,,,,,,5,5,5,2,2,2,1,3,5,5,1,46.25,5,5,5,15,135,21,34,29,1025.7,734
06/08/2001,5,4447.2,579.059021,,,,,,,5,5,3,2,3,4,1,2,2,3,1,39.526,5,5,4,15,225,24,38,30,1033.27,734
03/07/2002,4,2986.7,97.0350037,,,,,,,5,5,5,2,3,3,1,3,2,3,1,43.39,5,5,5,23,0,23.3,36.3,29.1,1030.38,789.2
